Title,Publisher(s),Technical issue(s),Add-Ons,Region(s),Ref(s)
2006 FIFA World Cup,EA Sports,Sometimes the text on menu options and buttons are replaced by text from a similar object on the same screen.,,,[ 5 ] [ 16 ]
25 to Life,Eidos,Random crashes would occur when attempting to start an online match.,,NA,[ 5 ] [ 16 ]
4x4 Evo 2,Gathering of Developers,Black screen when running in 480p/720p/1080i/1080p 60 Hz display settings,,,[ 5 ]
Airforce Delta Storm Deadly Skies (PAL) Airforce Delta II (JP),Konami,,,,[ 5 ]
Aggressive Inline,AKA Acclaim,Intro sequence is choppy.,,,[ 5 ]
Alias,Acclaim Entertainment,,,,[ 5 ]
Aliens Versus Predator: Extinction,EA Games,,,,[ 5 ]
All-Star Baseball 2003,Acclaim Sports,,,,[ 5 ]
All-Star Baseball 2005,Acclaim Entertainment,,,,[ 5 ]
America's Army: Rise of a Soldier,Ubisoft,,,,[ 5 ]
AMF Bowling 2004,Mud Duck Productions,,,NA,[ 5 ]
Amped: Freestyle Snowboarding Tenku: Freestyle Snowboarding (JP),Microsoft Game Studios,,,,[ 5 ]
Amped 2 Tenku 2 (JP),Microsoft Game Studios,There is flickering geometry during some levels. On occasion a sound effect will play repeatedly.,,,[ 5 ] [ 16 ]
APEX Racing Evoluzione (PAL),Infogrames,During the dream mode cutscene there is missing audio dialogue.,,,[ 5 ] [ 16 ]
Aquaman: Battle for Atlantis,TDK Mediactive,,,NA,[ 5 ]
Arena Football,EA Sports,Minor audio static can be heard during gameplay.,,,[ 5 ] [ 16 ]
Armed and Dangerous,LucasArts,After the first level voice audio doesn't play during game cinematics. During the opening cinematic some audio and video choppiness are present.,XBO,,[ 5 ] [ 16 ]
Army Men: Sarge's War,3DO,,,,[ 5 ]
Atari Anthology,Atari,,,,[ 5 ]
ATV: Quad Power Racing 2,AKA Acclaim,,,,[ 5 ]
Auto Modellista,Capcom,,,,[ 5 ]
Avatar: The Last Airbender,THQ,,,,[ 5 ]
Bad Boys: Miami Takedown Bad Boys II (PAL),Empire Interactive,PAL edition is not backwards compatible,,,[ 5 ]
Baldur's Gate: Dark Alliance,Interplay Entertainment,In the second zone during combat scenes there is a thirty to forty frames per second drop in performance.,,NA,[ 5 ] [ 16 ]
Baldur's Gate: Dark Alliance II,Interplay Entertainment,,,,[ 5 ]
Barbie Horse Adventures: Wild Horse Rescue,Vivendi Universal Games,The bottom half of the screen is not drawn correctly in split-screen mode.,,,[ 5 ] [ 16 ]
The Bard's Tale,Vivendi Universal Games,,,,[ 5 ]
Bass Pro Shops Trophy Hunter 2007,Vivendi Universal Games,The aiming reticule is surrounded by a box while the snowmobile suffers from a partial lack of collision.,,,[ 5 ] [ 16 ]
Batman Begins,EA Games,,,,[ 5 ]
Batman: Rise of Sin Tzu,Ubi Soft,,,,[ 5 ]
Battle Engine Aquila,Infogrames,,,,[ 5 ]
Battlestar Galactica,Vivendi Universal Games,,,,[ 5 ]
Big Bumpin',King Games,Game includes Original Xbox and Xbox 360 versions on a single disc.,,NA,[ 5 ]
Big Mutha Truckers,THQ,,,,[ 5 ]
Bionicle,"Electronic Arts , Lego Interactive",,,,[ 5 ]
Black,Electronic Arts,,XO XBO,,[ 17 ]
Black Stone: Magic & Steel Ex-Chaser (JP),Xicat Interactive,Graphics for Y button do not display correctly in Controller Settings.,,,[ 5 ] [ 16 ]
Blade II,Activision,There is a slight pause when reaching a save point.,,,[ 5 ] [ 16 ]
Blinx: The Time Sweeper,Microsoft Game Studios,This title consistently experiences slowdown.,XBO,,[ 16 ] [ 18 ]
Blinx 2: Masters of Time and Space,Microsoft Game Studios,This title experiences consistent performance problems.,,,[ 5 ] [ 16 ]
Blitz: The League,Midway Games,,,NA,[ 5 ]
Blood Omen 2,Eidos,Characters may spin in different directions randomly during cut scenes. When gaining a new ability graphical effects do not display correctly.,,,[ 5 ] [ 16 ]
BloodRayne 2,Majesco Entertainment,After reloading the checkpoint a noticeable loss in frame rate is present.,XBO,,[ 16 ] [ 12 ]
BlowOut,Majesco Entertainment,,XO,,[ 19 ]
BMX XXX,AKA Acclaim,,,,[ 5 ]
Breakdown,Namco,During gameplay system hangs on occasion while light sources show through walls.,XBO,,[ 16 ] [ 18 ]
Breeders' Cup World Thoroughbred Championships [ a ],Bethesda,Video in the Start menu skips.,,NA,[ 5 ] [ 16 ]
Brute Force,Microsoft Game Studios,,,,[ 5 ]
Buffy the Vampire Slayer,Electronic Arts,When viewing the opening logos and cinematic it will not display properly.,,,[ 5 ] [ 16 ]
Buffy the Vampire Slayer: Chaos Bleeds,Vivendi Universal Games,,,,[ 5 ]
Burger King games [ 20 ],King Games,"See Big Bumpin', PocketBike Racer, and Sneak King entries.",,NA,[ 5 ]
Burnout,Acclaim Entertainment,"During the ""USA Marathon"" track performance drops.",,,[ 5 ] [ 16 ]
Burnout 2: Point of Impact,Acclaim Entertainment,Pressing Start on attract mode will cause the game to boot back instantly. When playing split-screen races and on tracks with snow and rain effects performance slows down.,,,[ 5 ] [ 16 ]
Burnout 3: Takedown,Electronic Arts,,XO,NA PAL,[ 21 ]
Cabela's Big Game Hunter 2005 Adventures,Activision,,,,[ 5 ]
Cabela's Dangerous Hunts,Activision,,,,[ 5 ]
Cabela's Dangerous Hunts 2,Activision,,,,[ 5 ]
Cabela's Outdoor Adventures,Activision,,,,[ 5 ]
Cabela's Deer Hunt: 2004 Season,Activision,,,,[ 5 ]
Cabela's Deer Hunt: 2005 Season,Activision,,,,[ 5 ]
Call of Cthulhu: Dark Corners of the Earth,"Bethesda Softworks , 2K Games",During the prologue stage a green dot appears and will remain on screen while walking down the last set of stairs.,,,[ 5 ] [ 16 ]
Call of Duty: Finest Hour,Activision,"Prone to potentially game breaking freezing late in the Soviet campaign, very occasional minor texture flickering.",,,[ 5 ]
Call of Duty 2: Big Red One,Activision,"When playing multiplayer, dots representing the enemy do not appear in the HUD.",,,[ 5 ] [ 16 ]
Call of Duty 3,Activision,,,,[ 5 ]
Cars,THQ,When viewing cut scenes pixel color alteration will occur.,,,[ 5 ] [ 16 ]
Catwoman,EA Games,,,,[ 5 ]
Championship Manager 2006,Eidos,,,NA,[ 5 ]
Chicago Enforcer,Kemco,,,,[ 5 ]
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Buena Vista Games,,,,[ 5 ]
Circus Maximus: Chariot Wars,Encore,,,,[ 5 ]
Close Combat: First to Fight,2K Games,,,,[ 5 ]
Colin McRae Rally 04,Codemasters,"Frametiming (fluidity) issues during racing. Slowdown during corners on some tracks. Race timer is unaffected, leading to overall increased difficulty. Playing in bumper camera resolves this. Letters and characters such as in text and menus have graphical artifacts.",,,[ 5 ]
Colin McRae Rally 2005,Codemasters,"While on the main menu there is some texture flickering in the background image. Before the start of a race graphical artifacts appear on text on screen. During single and multiplayer races there are severe fluidity issues, inconstant frame rate and screen tearing.",,,[ 5 ] [ 16 ]
Combat Elite: WWII Paratroopers,SouthPeak Interactive,,,,[ 5 ]
Commandos 2: Men of Courage,Eidos,,,,[ 5 ]
Conflict: Desert Storm,SCi,,,,[ 5 ]
Conker: Live & Reloaded,Microsoft Game Studios,"Loading screens will not appear, occasional system hangs during gameplay and local multiplayer. Effects such as dust and smoke will not render correctly. The game crashes when entering the Dung Beetle dungeon.",XBO,,[ 16 ] [ 18 ]
Constantine,THQ,,,,[ 5 ]
Counter-Strike,Microsoft Game Studios,When playing in VGA/HD video mode performance drops occur during single player mode high bot matches.,,,[ 5 ] [ 16 ]
Crash Bandicoot: The Wrath of Cortex,Vivendi Games,,XO,NA PAL,[ 22 ] [ 23 ]
Crash Nitro Kart,Vivendi Universal Games,Runs at 30 fps in 720p in 480p the game runs at 60fps.,,NA PAL,[ 5 ] [ 16 ]
Crash Twinsanity,Vivendi Universal Games,Certain sections may experience slowdown and frame rate issues. Audio may desync in cutscenes.,,,[ 5 ]
Crime Life: Gang Wars,Konami,Random cut scenes display a static image while audio plays normally. There is an occasional crash during the loading screen.,,,[ 5 ] [ 16 ]
Crimson Skies: High Road to Revenge,Microsoft Game Studios,,XO XBO,,[ 12 ] [ 22 ]
"Crouching Tiger, Hidden Dragon",Ubi Soft,,,,[ 5 ]
The Da Vinci Code,2K Games,There are some environments that are transparent. There is some skipping during the cut scenes.,,,[ 5 ] [ 16 ]
Dai Senryaku VII: Modern Military Tactics Daisenryaku VII (JP),Kemco,"After the opening logos, a dirty disc error is occasionally displayed.",,,[ 5 ] [ 16 ]
Dark Angel,Vivendi Universal Games,,,,[ 5 ]
